Date_of_month,Selected lines,Total_lines
23 MARCH 2020,302,4113
24 MARCH 2020,348,5861
25 MARCH 2020,325,5576
26 MARCH 2020,360,5308
27 MARCH 2020,253,5476
28 MARCH 2020,278,5788
29 MARCH 2020,300,3465
30 MARCH 2020,282,4530
31 MARCH 2020,305,5178
01 APRIL 2020,336,5206
02 APRIL 2020,300,5254
03 APRIL 2020,347,3633
04 APRIL 2020,351,5578
05 APRIL 2020,333,3495
06 APRIL 2020,354,3666
07 APRIL 2020,373,3611
09 APRIL 2020,296,5455
11 APRIL 2020,306,3597
12 APRIL 2020,356,3689
13 APRIL 2020,300,3663
15 APRIL 2020,0,1
16 APRIL 2020,305,5599
17 APRIL 2020,323,5264
18 APRIL 2020,294,5493
19 APRIL 2020,306,3783
20 APRIL 2020,294,3878
21 APRIL 2020,306,5398
22 APRIL 2020,278,5463
23 APRIL 2020,260,5661
24 APRIL 2020,317,5820
25 APRIL 2020,303,5359
26 APRIL 2020,308,3702
27 APRIL 2020,288,4291
28 APRIL 2020,305,5338
29 APRIL 2020,236,5224
30 APRIL 2020,307,5406
07 MAY 2020,236,5489
08 MAY 2020,187,5273
09 MAY 2020,225,5422
10 MAY 2020,249,3655
11 MAY 2020,244,3602
12 MAY 2020,237,5275
13 MAY 2020,191,5242
14 MAY 2020,198,5208
15 MAY 2020,187,5276
16 MAY 2020,267,5301
17 MAY 2020,182,3703
18 MAY 2020,206,4237
19 MAY 2020,218,5380
20 MAY 2020,200,5268
22 MAY 2020,168,5386
23 MAY 2020,207,5383
24 MAY 2020,206,3612
25 MAY 2020,165,3368
26 MAY 2020,198,3808
27 MAY 2020,199,5033
28 MAY 2020,170,5213
29 MAY 2020,190,5266
20 MAY 2020,200,5268
31 MAY 2020,172,3483
08 JUNE 2020,202,4214
9 JUNE 2020,153,5535
11 JUNE 2020,178,5098
12 JUNE 2020,176,5585
13 JUNE 2020,183,5218
14 JUNE 2020,215,3609
15 JUNE 2020,175,3738
16 JUNE 2020,208,5348
17 JUNE 2020,192,5522
18 JUNE 2020,160,5300
19 JUNE 2020,119,5528
22 JUNE 2020,191,4024
23 JUNE 2020,170,5527
24 JUNE 2020,145,5267
25 JUNE 2020,121,5026
26 JUNE 2020,86,5066
27 JUNE 2020,164,5195
28 JUNE 2020,157,3424
29 JUNE 2020,158,3628
30 JUNE 2020,147,5356
01 JULY 2020,152,5535
02 JULY 2020,136,5486
03 JULY 2020,101,5272
04 JULY 2020,143,5345
05 JULY 2020,154,3473
06 JULY 2020,170,4222
07 JULY 2020,150,5515
08 JULY 2020,114,4896
11 JULY 2020,132,5283
12 JULY 2020,193,3617
13 JULY 2020,145,3636
14 JULY 2020,116,5344
15 JULY 2020,104,5277
