Date_of_month,Selected words,Total_words
23 MARCH 2020,326,48700
24 MARCH 2020,378,50632
25 MARCH 2020,349,44279
26 MARCH 2020,390,44761
27 MARCH 2020,264,40645
28 MARCH 2020,288,45604
29 MARCH 2020,321,35376
30 MARCH 2020,310,44485
31 MARCH 2020,335,41220
01 APRIL 2020,342,38856
02 APRIL 2020,312,43297
03 APRIL 2020,364,43179
04 APRIL 2020,380,44024
05 APRIL 2020,347,34925
06 APRIL 2020,344,39143
07 APRIL 2020,398,41626
09 APRIL 2020,331,44642
11 APRIL 2020,312,43700
12 APRIL 2020,408,37895
13 APRIL 2020,319,39590
15 APRIL 2020,0,0
16 APRIL 2020,328,45181
17 APRIL 2020,316,41703
18 APRIL 2020,298,46372
19 APRIL 2020,320,39914
20 APRIL 2020,303,44344
21 APRIL 2020,301,44353
22 APRIL 2020,283,45557
23 APRIL 2020,263,44754
24 APRIL 2020,315,45022
25 APRIL 2020,310,44134
26 APRIL 2020,300,39594
27 APRIL 2020,292,46039
28 APRIL 2020,327,44935
29 APRIL 2020,262,43427
30 APRIL 2020,304,44967
07 MAY 2020,263,44240
08 MAY 2020,204,40743
09 MAY 2020,218,43719
10 MAY 2020,252,38325
11 MAY 2020,257,42599
12 MAY 2020,247,43583
13 MAY 2020,202,40506
14 MAY 2020,210,41647
15 MAY 2020,214,41358
16 MAY 2020,281,41578
17 MAY 2020,197,39653
18 MAY 2020,213,41964
19 MAY 2020,224,44594
20 MAY 2020,188,41381
22 MAY 2020,166,39932
23 MAY 2020,220,44812
24 MAY 2020,218,38141
25 MAY 2020,168,37343
26 MAY 2020,217,43154
27 MAY 2020,201,39737
28 MAY 2020,182,42434
29 MAY 2020,206,41851
20 MAY 2020,188,41381
31 MAY 2020,179,33906
08 JUNE 2020,196,43983
9 JUNE 2020,156,43288
11 JUNE 2020,178,41545
12 JUNE 2020,188,44309
13 JUNE 2020,206,44154
14 JUNE 2020,236,36654
15 JUNE 2020,181,42179
16 JUNE 2020,215,44183
17 JUNE 2020,193,42141
18 JUNE 2020,174,39860
19 JUNE 2020,137,41484
22 JUNE 2020,195,44244
23 JUNE 2020,171,43580
24 JUNE 2020,140,39092
25 JUNE 2020,122,34235
26 JUNE 2020,88,36581
27 JUNE 2020,168,41336
28 JUNE 2020,162,38625
29 JUNE 2020,145,41933
30 JUNE 2020,158,39029
01 JULY 2020,148,39485
02 JULY 2020,131,42898
03 JULY 2020,108,41546
04 JULY 2020,150,42239
05 JULY 2020,166,36164
06 JULY 2020,166,43436
07 JULY 2020,157,42226
08 JULY 2020,105,35419
11 JULY 2020,127,42981
12 JULY 2020,204,38716
13 JULY 2020,152,42654
14 JULY 2020,121,41074
15 JULY 2020,102,39680
